医院简介,医院类别,id_number,医院名称,医院等级,单位地址,邮    编,所属区县
<br>,对内,14111003,中国政法大学校医院,未评级,昌平区府学路27号, ,昌平区
<br>,社区卫生站,14120004,北京市昌平区马池口社区卫生服务中心马池口社区卫生服务站,未评级,北京市昌平区马池口镇马池口村北, ,昌平区
<br>,社区卫生站,14120003,北京市昌平区北七家社区卫生服务中心燕丹社区卫生服务站,未评级,北京市昌平区北七家镇燕丹村, ,昌平区
<br>,社区卫生站,14120001,北京市昌平区小汤山社区卫生服务中心大东流社区卫生服务站,未评级,北京市昌平区小汤山镇大东流村, ,昌平区
<br>,对外中医,14111007,北京昌平天通仁和中医医院,一级,北京市昌平区天通苑东一区33-12、33-13、33-14, ,昌平区
<br>,对外综合,14111006,北京安达医院,一级,北京市昌平区回龙观龙腾苑三区16号楼, ,昌平区
<br>,社区卫生站,14120002,北京市昌平区兴寿社区卫生服务中心上苑社区卫生服务站,未评级,北京市昌平区兴寿镇秦家屯村, ,昌平区
<br>,对外综合,14111005,北京保温瓶工业公司职工医院,一级,北京市昌平区南口镇交通街1号, ,昌平区
<br>,对外综合,14111004,北京昌平臻俐康医院,未评级,北京市昌平区南口镇南口农场内, ,昌平区
<br>,对外综合,14130005,北京昌平区残疾人联合会天寿康门诊部,未评级,北京市昌平区瑞旗家园1号楼底商107号 108号 109号 110号, ,昌平区
<br>,对外综合,14130004,北京昌平谦爱门诊部,未评级,北京市昌平区南口镇兴隆街20号, ,昌平区
<br>,对外综合,14130003,北京昌平燕平家园门诊部,未评级,北京市昌平区东关路18-9-10-11号, ,昌平区
<br>,对外综合,14130001,航空总医院天通苑门诊部,未评级,北京市昌平区天通苑西二区17号楼, ,昌平区
<br>,社区卫生站,14120009,北京市昌平区流村社区卫生服务中心高崖口社区卫生服务站,未评级,北京市昌平区流村镇高崖口村, ,昌平区
<br>,社区卫生站,14120007,北京市昌平区沙河社区卫生服务中心七里渠社区卫生服务站,未评级,北京市昌平区沙河镇七里渠村, ,昌平区
<br>,社区卫生站,14120005,北京市昌平区兴寿社区卫生服务中心下庄社区卫生服务站,未评级,北京市昌平区兴寿镇下庄村, ,昌平区
<br>,对外中医,14151003,北京昌平同康中医门诊部,未评级,北京市昌平区西环南路29号, ,昌平区
<br>,对外中医,14151002,北京市昌平区天通苑中医医院,二级,昌平区天通苑东一区9号楼, ,昌平区
<br>,对外中医,14151001,北京市昌平区中医医院,三级,昌平区城区镇东环路南段、东小口镇天通苑西一区25号楼、北京市昌平区星火街9号, ,昌平区
<br>,对内,14141001,北京农学院校医院,未评级,北京德胜门外朱辛庄北农路7号, ,昌平区
<br>,对外中医,14151004,北京昌平天通益康中医门诊部,未评级,北京市昌平区东小口镇天通苑三区1号楼312室, ,昌平区
<br>,对外综合,14155006,北京六合医院,一级,北京市昌平区天通苑东一区33号楼, ,昌平区
<br>,对外专科,14155005,北京市亚太中医骨科医院,一级,北京市昌平区天通苑北二区甲13号楼1-101室, ,昌平区
